user_id,engagement_score,experience_score,satisfaction_score,satisfaction_cluster
33667089827.0,0.0158894,0.111129,0.0635091,0
33661892849.0,0.0158702,0.321654,0.168762,0
33681978245.0,0.0158317,0.331844,0.173838,0
33684509760.0,0.0167751,0.0269673,0.0218712,0
33730417718.5,0.0162745,0.156998,0.0866362,0
33604163418.5,0.0158702,0.19321,0.10454,0
33730417718.5,0.0166788,0.078389,0.0475339,0
33651344041.0,0.0162745,0.0798177,0.0480461,0
33667577039.0,0.0158124,0.132836,0.0743242,0
33730417718.5,0.0151001,0.180413,0.0977563,0
33730417718.5,0.016005,0.208421,0.112213,0
33651581456.0,0.0161012,0.0437051,0.0299031,0
33605919002.0,0.0163323,0.184682,0.100507,0
33658454452.0,0.159967,0.0185268,0.0892471,0
33659923151.0,0.016082,0.167094,0.0915881,0
33610341039.0,0.0164093,0.169942,0.0931758,0
33604653620.0,0.016467,0.0462472,0.0313571,0
33650293052.0,0.016005,0.182837,0.0994209,0
33730417718.5,0.982012,0.77374,0.877876,1
33662761310.0,0.0169098,0.340439,0.178675,0
33650889727.0,0.0161782,0.157339,0.0867585,0
33643894533.0,0.0161205,0.0631408,0.0396306,0
33660144841.0,0.0161975,0.188802,0.1025,0
33666253535.0,0.0161012,0.052864,0.0344826,0
33669165983.0,0.982012,0.375788,0.6789,1
33629818354.0,0.0158124,0.168097,0.0919546,0
33604163418.5,0.0161397,0.182837,0.0994883,0
33610912213.0,0.129923,0.0269673,0.0784452,0
33664333406.0,0.0155621,0.0631408,0.0393515,0
33607213252.0,0.0159087,0.0631408,0.0395248,0
33688402404.0,0.0164285,0.234273,0.125351,0
33675137835.0,0.0167558,0.131052,0.0739041,0
33659675942.0,0.982012,0.104059,0.543035,1
33659574416.0,0.0165055,0.0879493,0.0522274,0
33662861121.0,0.0160242,0.215448,0.115736,0
33730417718.5,0.0161397,0.271284,0.143712,0
33730417718.5,0.0166788,0.0631408,0.0399098,0
33651892763.0,0.0157354,0.0631408,0.0394381,0
33730417718.5,0.0179495,0.0631408,0.0405452,0
33664926570.0,0.383514,0.201655,0.292584,0
33620494145.0,0.0158124,0.0410787,0.0284456,0
33662761310.0,0.0171986,0.234273,0.125736,0
33651390475.0,0.0167751,0.336823,0.176799,0
33623301160.0,0.55965,0.811756,0.685703,1
33698229838.0,0.0164863,0.0387346,0.0276104,0
33730417718.5,0.0167751,0.251619,0.134197,0
33659265899.0,0.0160435,0.182837,0.0994402,0
